Nummer	Kenmerk	Omschrijving	period_start	Jaar	expmean_est	expmean_lwr	expmean_upr
1	CSR ordinate values	C	1950	1950	0.92362813	0.752141505	1.134213331
2	CSR ordinate values	C	1950	1951	0.926564863	0.766380756	1.120229649
3	CSR ordinate values	C	1950	1952	0.928911831	0.778498716	1.108386142
4	CSR ordinate values	C	1950	1953	0.930653456	0.788021838	1.099101335
5	CSR ordinate values	C	1950	1954	0.931822162	0.794630528	1.092699702
6	CSR ordinate values	C	1950	1955	0.932503901	0.79829713	1.08927302
7	CSR ordinate values	C	1950	1956	0.932824282	0.799372718	1.088554965
8	CSR ordinate values	C	1950	1957	0.932925598	0.7985472	1.089917004
9	CSR ordinate values	C	1950	1958	0.932949216	0.796686861	1.092517377
10	CSR ordinate values	C	1950	1959	0.933021118	0.794633455	1.095509385
11	CSR ordinate values	C	1950	1960	0.93323966	0.793053747	1.098205848
12	CSR ordinate values	C	1950	1961	0.933670735	0.792381372	1.100153377
13	CSR ordinate values	C	1950	1962	0.934347723	0.792823649	1.101134746
14	CSR ordinate values	C	1950	1963	0.935276318	0.794404165	1.10112941
15	CSR ordinate values	C	1950	1964	0.936444731	0.797023869	1.100254043
16	CSR ordinate values	C	1950	1965	0.937824672	0.800494302	1.098715024
17	CSR ordinate values	C	1950	1966	0.93937629	0.804581789	1.096753402
18	CSR ordinate values	C	1950	1967	0.941054198	0.809052662	1.094592534
19	CSR ordinate values	C	1950	1968	0.942813061	0.813707812	1.092402523
20	CSR ordinate values	C	1950	1969	0.944608793	0.818398226	1.090283121
21	CSR ordinate values	C	1950	1970	0.946400377	0.82303141	1.088261835
22	CSR ordinate values	C	1950	1971	0.948151319	0.827565549	1.086307816
23	CSR ordinate values	C	1950	1972	0.949829677	0.831991617	1.084357579
24	CSR ordinate values	C	1950	1973	0.951408389	0.836309497	1.082348014
25	CSR ordinate values	C	1950	1974	0.952864962	0.840503062	1.080247862
26	CSR ordinate values	C	1950	1975	0.954181538	0.844527124	1.078073613
27	CSR ordinate values	C	1950	1976	0.955347014	0.848310681	1.075888749
28	CSR ordinate values	C	1950	1977	0.956359206	0.851773685	1.073786319
29	CSR ordinate values	C	1950	1978	0.957227197	0.854853586	1.071860633
30	CSR ordinate values	C	1950	1979	0.957973315	0.857534323	1.070176257
31	CSR ordinate values	C	1950	1980	0.958633825	0.859868591	1.068743318
32	CSR ordinate values	C	1950	1981	0.959257776	0.861985667	1.067506706
33	CSR ordinate values	C	1950	1982	0.959903871	0.864081465	1.066352514
34	CSR ordinate values	C	1950	1983	0.96063571	0.866393129	1.0651296
35	CSR ordinate values	C	1950	1984	0.961516074	0.869164672	1.063680094
36	CSR ordinate values	C	1950	1985	0.962601191	0.87261159	1.061871128
37	CSR ordinate values	C	1950	1986	0.963935843	0.876891454	1.05962067
38	CSR ordinate values	C	1950	1987	0.965549972	0.882085392	1.056912128
39	CSR ordinate values	C	1950	1988	0.967457066	0.888193091	1.053794703
40	CSR ordinate values	C	1950	1989	0.96965418	0.895141728	1.050369119
41	CSR ordinate values	C	1950	1990	0.972123131	0.902807116	1.046761113
42	CSR ordinate values	C	1950	1991	0.974832255	0.911043218	1.043087646
43	CSR ordinate values	C	1950	1992	0.977738129	0.919713982	1.039422982
44	CSR ordinate values	C	1950	1993	0.980786908	0.928719832	1.035773035
45	CSR ordinate values	C	1950	1994	0.983915233	0.938011294	1.032065596
46	CSR ordinate values	C	1950	1995	0.987051071	0.947585415	1.028160419
47	CSR ordinate values	C	1950	1996	0.990115075	0.957466359	1.023877082
48	CSR ordinate values	C	1950	1997	0.993023149	0.967677355	1.019032811
49	CSR ordinate values	C	1950	1998	0.995690697	0.978213543	1.013480105
50	CSR ordinate values	C	1950	1999	0.998038554	0.989023194	1.007136092
51	CSR ordinate values	C	1950	2001	1.001527622	0.992158888	1.010984824
52	CSR ordinate values	C	1950	2002	1.002598449	0.983783211	1.021773537
53	CSR ordinate values	C	1950	2003	1.003215848	0.975113099	1.032128518
