Sector	Biodiversiteitsfactor
Administratieve kosten van budgethouders	0
Bevolking en reproductieve gezondheid - Gezondheidszorg i.v.m. vruchtbaarheid	0.2
Bevolking en reproductieve gezondheid - Opleiding gezondheidspersoneel	0.2
Bosbouw - Bosbouwbeleid en administratief beheer	0.33
Bosbouw - Bosbouwdiensten	0.33
Bosbouw - Bosbouwonderzoek	0.33
Bosbouw - Bosbouwontwikkeling	0.33
Bosbouw - Brandhout en houtskool	0
Bosbouw - Opleiding en vorming	0.33
Conflict Vrede Veiligheid - Conflictpreventie -resolutie en Vredesopbouw	0.15
Constructie - Constructiebeleid en administratief beheer	0
Energie - Algemeen - Energiebeleid en administratief beheer	0
Energie - Energiebeleid en administratief beheer	0
Energie - Energieproductie van hernieuwbare bronnen	0
Energie - Hernieuwbaar - algemeen	0
Energie - Hernieuwbaar - Biomassa	0
Energie - Hydro-elektrische centrales en stuwdammen	0
Energie - Transmissie en verdeling van elektriciteit	0
Energie - Windenergie	0
Energie - Zonne-energie	0
Financiën/Banken - Microkrediet	0
Gezondheid - Basisgezondheid - Basisgezondheidszorg	0.2
Gezondheid - Basisgezondheid - Basisvoeding	0.2
Gezondheid - Basisgezondheid - Besmettelijke ziekten	0.2
Gezondheid - Basisgezondheid - Educatie basisgezondheid	0.2
Gezondheid - Basisgezondheid - Infrastructuur basisgezondheid	0.2
Gezondheid - Basisgezondheid - Malaria	0.2
Gezondheid - Basisgezondheid - Tuberculose	0.2
Gezondheid - Gezondheidsbeleid en administratief beheer	0.2
Gezondheid - Medisch onderwijs en vorming	0.2
Gezondheid - Medisch onderzoek	0.2
Gezondheid - Medische diensten en centra	0.2
Handel - Handel vergemakkelijken	0.05
Handel - Handelsbeleid en administratief beheer	0
Handel - Technische handelsbelemmeringen	0.05
Humanitaire hulp - Noodhulp - Andere dan voedselhulp	0.05
Humanitaire hulp - Noodhulp - Coördinatie van noodhulp - Bescherming en ondersteunende diensten	0.05
Humanitaire hulp - Noodhulp - Noodvoedselhulp	0
Humanitaire hulp - Preventie van en voorbereiding op rampen	0
Humanitaire hulp - Reconstructie en rehabilitatie	0
Industrie - Agro-industrie	0
Industrie - Mijnbouw - Beleid en administratief beheer	0
Industrie - Ontwikkeling van KMO's	0.05
Landbouw en veeteelt - Alternatieve landbouwteelten (tegen drugteelt)	0.15
Landbouw en veeteelt - Bescherming van gewassen en oogst, strijd tegen plagen	0.02
Landbouw en veeteelt - Diergeneeskundige diensten	0.02
Landbouw en veeteelt - Exportgewassen en industriële landbouwteelt	0
Landbouw en veeteelt - Landbouwbeleid en administratief beheer	0.2
Landbouw en veeteelt - Landbouwcoöperatieven	0.05
Landbouw en veeteelt - Landbouwdiensten	0.2
Landbouw en veeteelt - Landbouwgronden	0.33
Landbouw en veeteelt - Landbouwhervormingen	0.05
Landbouw en veeteelt - Landbouwkrediet	0
Landbouw en veeteelt - Landbouwontwikkeling	0.05
Landbouw en veeteelt - Landbouwproductie voor voeding	0.05
Landbouw en veeteelt - Landbouwvoorlichting	0.2
Landbouw en veeteelt - Onderzoek	0.2
Landbouw en veeteelt - Opleiding en vorming	0.2
Landbouw en veeteelt - Producten voor landbouwgebruik	0.02
Landbouw en veeteelt - Veeteelt	0.02
Landbouw en veeteelt - Waterhulpmiddelen voor landbouwgebruik	0
Milieubescherming - Beleid en administratief beheer	0.33
Milieubescherming - Bescherming van de biosfeer	0.1
Milieubescherming - Bescherming van landschapsmonumenten	0.4
Milieubescherming - Biodiversiteit	0.6
Milieubescherming - Onderzoek i.v.m. het leefmilieu	0.33
Milieubescherming - Opvoeding en vorming i.v.m. het leefmilieu	0.33
Milieubescherming - Preventie en strijd tegen overstromingen	0.1
Multisector - Multisector opleiding en vorming	0.1
Multisector - Onderzoeks/wetenschappelijke instituten	0.1
Multisector - Plattelandsontwikkeling	0.15
Multisector - Stedelijke ontwikkeling en stadsbeheer	0.1
Multisector algemeen	0.05
NGO - Algemene steun voor Belgische NGO (van donorland)	0
Onbepaald	0.14
Ondernemingen - Diensten voor Commerciële doeleinden	0
Onderwijs - Basis 	0
Onderwijs - Beroepsvorming	0
Onderwijs - Fundamentele vaardigheden voor levenskwaliteit	0
Onderwijs - Hoger onderwijs	0.15
Onderwijs - Hogere technische opleiding	0.15
Onderwijs - Onderwijsbeleid en administratief beheer	0.05
Onderwijs - Uitrusting en vorming	0.1
Onderwijs - Vorming onderwijzend personeel	0.05
Overheid en Civiele Maatschappij - Anticorruptie organisaties en instellingen	0.05
Overheid en Civiele Maatschappij - Beheer van de openbare financiën	0.05
Overheid en Civiele Maatschappij - Decentralisatie en steun aan subnationale overheden	0.05
Overheid en Civiele Maatschappij - Democratische participatie en inspraak van de burgers	0.05
Overheid en Civiele Maatschappij - Mensenrechten	0
Overheid en Civiele Maatschappij - Ontwikkeling van wettelijke en gerechtelijke diensten	0.05
Overheid en Civiele Maatschappij - Organisaties en instellingen voor gendergelijkheid	0.05
Overheid en Civiele Maatschappij - Publieke sector: beleid en management	0.05
Overheid en Civiele Maatschappij - Studiefonds of expertisefonds	0.05
Schuldverlichting - Algemeen	0
Sensibilisering over hulp in het donorland	0.1
Sociale infrastructuur - Cultuur en vrijetijdsbesteding	0
Sociale infrastructuur - Plurisectorale hulp voor elementaire sociale diensten	0
Sociale infrastructuur - Sociale diensten	0
Sociale infrastructuur - Werkgelegenheidsbeleid en administratief beheer	0.1
Toerisme - Beleid en administratief beheer	0.05
Transport en opslag - Spoorvervoer	0
Transport en opslag - Watervervoer	0.2
Transport en opslag - Wegvervoer	0
Visvangst en aquacultuur - Opleiding en vorming	0.2
Visvangst en aquacultuur - Visvangstbeleid en administratief beheer	0.2
Visvangst en aquacultuur - Visvangstdiensten	0.2
Visvangst en aquacultuur - Visvangstonderzoek	0.2
Visvangst en aquacultuur - Visvangstontwikkeling	0.05
Voedselhulp - Programma's voor voedselveiligheid en -hulp	0
Watervoorziening en -sanering - Afvalverwerking	0.25
Watervoorziening en -sanering - Beleid voor watervoorziening en administratief beheer	0.25
Watervoorziening en -sanering - Bescherming watervoorraden	0.33
Watervoorziening en -sanering - Grootschalig	0
Watervoorziening en -sanering - Kleinschalig	0.1
Watervoorziening en -sanering - Opleiding waterverdeling en sanering	0.2
Watervoorziening en -sanering - Rivieren	0.33
Watervoorziening en -sanering - Sanering grootschalig	0
Watervoorziening en -sanering - Sanering kleinschalig	0.1
Watervoorziening en -sanering - Watervoorziening grootschalig	0
Watervoorziening en -sanering - Watervoorziening kleinschalig	0.1
